Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC124795620	131	338	338	341	360	469	1622	649	1181	537	150	394	246	272	325	605	1782	580	910	1254	651.8	277	1026	3.7	1.888	4.37295807508165e-07	7.21342278295559e-05	0.155	0.1422
LOC124795640	4	42	9	4	29	45	88	126	181	40	5	49	7	3	26	58	97	113	140	93	58.97	18	100	5.639	2.495	5.83730443096109e-05	0.00416218635941819	0.3919	0.2473
LOC124795844	151	100	170	137	151	200	133	399	423	563	172	117	124	109	136	258	146	357	326	1315	305.99	132	480	3.634	1.862	6.05342062701597e-05	0.00423432941580889	0.2384	0.1301
LOC124795918	396	398	394	549	290	438	706	1108	1120	942	452	464	287	438	262	565	776	990	863	2200	729.67	381	1079	2.833	1.502	5.94378692283926e-05	0.00421094442764228	0.1593	0.1466
LOC124796240	7	4	10	11	26	20	16	61	29	43	8	5	7	9	23	26	18	55	22	100	27.29	10	44	4.087	2.031	0.000414598377828733	0.0187792675072261	0.3234	0.2508
LOC124796276	12	14	15	35	22	89	18	9	228	43	14	16	11	28	20	115	20	8	176	100	50.75	18	84	4.686	2.228	0.000538565142730191	0.0227184044177636	0.432	0.2518
LOC124796285	24	12	25	5	13	24	38	68	47	105	27	14	18	4	12	31	42	61	36	245	49.03	15	83	5.427	2.44	0.000110929894808336	0.00677346517912561	0.4018	0.2532
LOC124796310	0	1	48	20	4	37	34	123	257	55	0	1	35	16	4	48	37	110	198	128	57.72	11	104	9.079	3.183	5.34267558237873e-05	0.00391259717242823	0.6097	0.2481
LOC124796352	27	49	42	34	42	56	88	108	121	33	31	57	31	27	38	72	97	97	93	77	61.93	37	87	2.39	1.257	0.000779331669437207	0.0305411457918272	0.1453	0.2453
LOC124796540	80	132	242	65	165	33	43	45	98	6	91	154	176	52	149	43	47	40	76	14	84.16	124	44	0.36	-1.474	0.00106978201649323	0.0380168194414249	0.2205	0.2263
